# suite	byond-canonical-del
# byond_version	516
# byond_build	1685
# system	unix
# runner_priority	normal
# clock	tick_usage
# stdout_binding	file
# source_commit	bf9dc55
# merged_runs	3
# merged_from	D1685_1\results-516.1685-unix-del.tsv D1685_2\results-516.1685-unix-del.tsv D1685_3\results-516.1685-unix-del.tsv
kind	id	category	name	value	unit	expected	status	res	notes
MEASURE	framework.empty_loop	framework	empty loop iteration	0.08	us				n=3 min=0.08 max=0.08 spread=0%
MEASURE	framework.bare_loop	framework	loop iteration, no accumulator	0.03	us				n=3 min=0.03 max=0.03 spread=0%
ASSERT	framework.discarded_work_still_costs	framework	an expression whose result is unused is still executed	1		1	PASS		n=3 PASS/PASS/PASS; bare loop 1.25 ds, discarded istype 5.9375 ds over 4000000
MEASURE	del.drop_control_1ref	del	allocate, build 1 heap ref, drop both, no del()	1.04	us				n=3 min=1.04 max=1.06 spread=2%
ASSERT	del.zero_refs_is_free	del	del() is free when only a local points at the victim	1		1	PASS		n=3 PASS/PASS/PASS; 0.02 us
ASSERT	del.one_ref_costs	del	a single heap reference makes del() cost real time	1		1	PASS		n=3 PASS/PASS/PASS; 4.01 us
ASSERT	del.refcount_does_not_scale	del	256 references cost far less than 256x one	1		1	PASS		n=3 PASS/PASS/PASS; 1 ref 4.01 us, 256 refs 5.92 us
MEASURE	del.refs_0	del	del cost, 0 heap refs	0.02	us				LOW_RESOLUTION; n=3 min=0.02 max=0.02 spread=0%
MEASURE	del.refs_1	del	del cost, 1 heap ref	4	us				n=3 min=3.94 max=4.01 spread=2%
MEASURE	del.refs_256	del	del cost, 256 heap refs	5.91	us				n=3 min=5.9 max=5.92 spread=0%
ASSERT	del.accounted_ref_is_free	del	del through the ref's own list slot skips the scan	1		1	PASS		n=3 PASS/PASS/PASS; 0.19 us via del(H[1]) vs 4.01 us with an unaccounted ref
MEASURE	del.ref_via_index	del	del cost, sole ref indexed by the del expression	0.24	us				n=3 min=0.19 max=0.24 spread=21%
MEASURE	del.turfs_10k	del	del cost at 10k turfs	4	us				n=3 min=3.95 max=4.02 spread=2%
MEASURE	del.turfs_48k	del	del cost at 48k turfs	4.02	us				n=3 min=3.95 max=4.06 spread=3%
ASSERT	del.turfs_not_counted	del	map size does not affect del() cost	1		1	PASS		n=3 PASS/PASS/PASS; 4 us at 10k turfs, 4.02 us at 48k turfs
MEASURE	del.before_churn	del	del cost before 500k churn	4.04	us				n=3 min=3.98 max=4.07 spread=2%
MEASURE	del.after_churn	del	del cost after 500k churn	3.99	us				n=3 min=3.91 max=4.01 spread=3%
ASSERT	del.cumulative_alloc_irrelevant	del	allocating and freeing 500k objects does not change del() cost	1		1	PASS		n=3 PASS/PASS/PASS; 4.04 us before, 3.99 us after
MEASURE	del.live_0	del	del cost at 0 live objs	4.02	us				n=3 min=3.94 max=4.03 spread=2%
MEASURE	del.live_50000	del	del cost at 50000 live objs	89.4	us				n=3 min=89.2 max=90 spread=1%
MEASURE	del.live_100000	del	del cost at 100000 live objs	177.7	us				n=3 min=173 max=189.1 spread=9%
MEASURE	del.live_200000	del	del cost at 200000 live objs	670.3	us				n=3 min=667.1 max=671.3 spread=1%
ASSERT	del.live_count_drives_cost	del	del() cost rises sharply with live object count	1		1	PASS		n=3 PASS/PASS/PASS; 4.03 us cold vs 667.08 us at 200k live
MEASURE	del.live_300000	del	del cost at 300000 live objs	1154.2	us				n=3 min=1151 max=1157.8 spread=1%
ASSERT	del.population_sweep_monotonic	del	del() cost rises at every step of the population sweep	1		1	PASS		n=3 PASS/PASS/PASS; 0:4.03 50k:89.98 100k:172.97 200k:667.08 300k:1154.18 us
ASSERT	del.peak_leaves_residual	del	freeing the population does not restore the cold cost	1		1	PASS		n=3 PASS/PASS/PASS; 4.03 us cold, 198.9 us after 300k existed and were freed
MEASURE	del.residual_after_peak	del	del cost after peak population freed	198.7	us				n=3 min=198.7 max=198.9 spread=0%

# passed	10
# failed	0
# unstable	0
# measured	17
# wide_spread	0
# result	PASS
